name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = memory
id = 9
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$]
7273.671658039093,	0.051153243,	-0.00111231676642783,	11,	0.051153243,	-0.0056750855429991325,	
7274.671658039093,	0.051164731,	-0.001108267003158108,	11,	0.051164731,	-0.00565442348550055,	
7275.671658039093,	0.05109974,	-0.001109780368907378,	11,	0.05109974,	-0.005662144739323357,	
7276.671658039093,	0.051134139,	-0.001110824293934275,	11,	0.051134139,	-0.0056674708874197705,	
7277.671658039093,	0.051134065,	-0.001109157457645051,	11,	0.051134065,	-0.005658966620638015,	
7278.671658039093,	0.051122651,	-0.001111174928047695,	11,	0.051122651,	-0.005669259836978036,	
7279.671658039093,	0.051157046,	-0.001106613429787103,	11,	0.051157046,	-0.005645986886668893,	
7280.671658039093,	0.051157046,	-0.001111355746642222,	11,	0.051157046,	-0.005670182380827664,	
7281.671658039093,	0.051076833,	-0.001107276628795081,	11,	0.051076833,	-0.0056493705550769435,	
7282.671658039093,	0.051145557,	-0.001111692483432129,	11,	0.051145557,	-0.005671900425674128,	
7283.671658039093,	0.051137947,	-0.001110876670992002,	11,	0.051137947,	-0.005667738117306132,	
7284.671658039093,	0.051122651,	-0.001106546730268747,	11,	0.051122651,	-0.005645646583003812,	
7285.671657800674,	0.051118843,	-0.001103859605989421,	11,	0.051118843,	-0.005631936765252148,	
7286.671657800674,	0.051126454,	-0.001107177805830725,	11,	0.051126454,	-0.005648866356279209,	
7287.671657800674,	0.051153243,	-0.001107510638050735,	11,	0.051153243,	-0.005650564479850688,	
7288.671657800674,	0.051145557,	-0.001106836022343487,	11,	0.051145557,	-0.005647122562976974,	
7289.671657800674,	0.05118376,	-0.001105461243772881,	11,	0.05118376,	-0.005640108386596332,	
7290.671657800674,	0.051149361,	-0.001107705742120744,	11,	0.051149361,	-0.005651559908779306,	
7291.671657800674,	0.051092058,	-0.001109307322069073,	11,	0.051092058,	-0.00565973123504629,	
7292.671657800674,	0.051130261,	-0.001102597320522184,	11,	0.051130261,	-0.005625496533276449,	
7293.671657800674,	0.051153243,	-0.001106716379499995,	11,	0.051153243,	-0.005646512140306097,	
7294.671657800674,	0.051122651,	-0.001106617930287032,	11,	0.051122651,	-0.005646009848403224,	
7295.671657800674,	0.051130336,	-0.001107150694448501,	11,	0.051130336,	-0.005648728032900515,	
7296.671657800674,	0.051172342,	-0.00110823112888029,	11,	0.051172342,	-0.005654240453470867,	
7297.671657800674,	0.051088326,	-0.001107833013799974,	11,	0.051088326,	-0.005652209254081501,	
7298.671657800674,	0.051176149,	-0.001104596562171356,	11,	0.051176149,	-0.005635696745772223,	
7299.671657800674,	0.051130261,	-0.001106694293825424,	11,	0.051130261,	-0.005646399458292979,	
7300.671657800674,	0.051206741,	-0.001103095508180559,	11,	0.051206741,	-0.0056280383070436675,	
7301.671657800674,	0.051153243,	-0.001102369725320023,	11,	0.051153243,	-0.005624335333265423,	
7302.671657800674,	0.05111504,	-0.001106632527546026,	11,	0.05111504,	-0.0056460843242144175,	
7303.671657800674,	0.051130261,	-0.001105272705794778,	11,	0.051130261,	-0.005639146458136622,	
