name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = memory
id = 9
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$]
8632.822041511536,	1.0418737,	0.001297823945645482,	13,	1.0418737,	0.006621550743089194,	
8633.621641635895,	1.0458785,	0.001300537820803518,	13,	1.0458785,	0.006635397044915908,	
8634.421341657639,	1.0498755,	0.001301417160155732,	13,	1.0498755,	0.006639883470182306,	
8635.22094154358,	1.0538721,	0.001300330329290455,	13,	1.0538721,	0.006634338414747219,	
8636.020641565323,	1.0578707,	0.001297229516182954,	13,	1.0578707,	0.006618517939708949,	
8636.820241451263,	1.0618721,	0.001294351037670912,	13,	1.0618721,	0.006603831824851592,	
8637.619841575623,	1.065894,	0.001288856018315868,	13,	1.065894,	0.006575796011815653,	
8638.419441461563,	1.0698984,	0.00128177853039042,	13,	1.0698984,	0.006539686379542959,	
8639.219041585922,	1.0738851,	0.001273138937564573,	13,	1.0738851,	0.006495606824309045,	
8640.018641471863,	1.0778716,	0.00126657056636971,	13,	1.0778716,	0.006462094726376072,	
8640.818241596222,	1.0818785,	0.001259466187148948,	13,	1.0818785,	0.006425847893617081,	
8641.617841482162,	1.0858593,	0.001252113176627146,	13,	1.0858593,	0.0063883325338119695,	
8642.417441368103,	1.0898829,	0.001243823342383208,	13,	1.0898829,	0.006346037461138816,	
8643.217041492462,	1.0938587,	0.001236243739982816,	13,	1.0938587,	0.00630736602032049,	
8644.016641378403,	1.0978502,	0.001229661650747029,	13,	1.0978502,	0.0062737839323828,	
8644.816241502762,	1.1018597,	0.001223508008828976,	13,	1.1018597,	0.006242387800147837,	
8645.615841388702,	1.1058624,	0.001217731381010704,	13,	1.1058624,	0.006212915209238286,	
8646.415441513062,	1.1098715,	0.001212434691595404,	13,	1.1098715,	0.006185891283650021,	
8647.215041399002,	1.1138617,	0.001207424581575968,	13,	1.1138617,	0.006160329497836571,	
8648.014641523361,	1.1178538,	0.001202943053789877,	13,	1.1178538,	0.006137464560152434,	
8648.814241409302,	1.1218538,	0.001198665954820368,	13,	1.1218538,	0.00611564262663453,	
8649.613841295242,	1.1258386,	0.001195203877094285,	13,	1.1258386,	0.00609797896476676,	
8650.413541316986,	1.1298403,	0.001192609066185428,	13,	1.1298403,	0.006084740133599123,	
8651.213141441345,	1.1338414,	0.001191295329032301,	13,	1.1338414,	0.006078037393021944,	
8652.012741327286,	1.1378444,	0.001188896621435096,	13,	1.1378444,	0.0060657990889545705,	
8652.81244134903,	1.1418526,	0.001188409307518852,	13,	1.1418526,	0.0060633127934635305,	
8653.61204123497,	1.1458544,	0.001187804879652895,	13,	1.1458544,	0.006060228977820893,	
8654.41164135933,	1.1498438,	0.001186441545426357,	13,	1.1498438,	0.006053273190950801,	
8655.21124124527,	1.1538548,	0.001186824164491536,	13,	1.1538548,	0.006055225329038448,	
8656.010841369629,	1.1578515,	0.001187116469571432,	13,	1.1578515,	0.006056716681486898,	
8656.81044125557,	1.1618588,	0.00118804188282939,	13,	1.1618588,	0.006061438177700969,	
8657.610041379929,	1.1658328,	0.001187935703126625,	13,	1.1658328,	0.006060896444523597,	
8658.40964126587,	1.1698438,	0.001189516538495267,	13,	1.1698438,	0.006068961931098301,	
8659.209241390228,	1.173838,	0.001189281838589696,	13,	1.173838,	0.00606776448260049,	
8660.008841276169,	1.1778219,	0.001190343872587053,	13,	1.1778219,	0.006073183023403331,	
8660.80844116211,	1.1818122,	0.001190917466067814,	13,	1.1818122,	0.006076109520754153,	
8661.608041286469,	1.1858203,	0.001191816976828793,	13,	1.1858203,	0.0060806988613713924,	
8662.407641172409,	1.1897966,	0.001192374466572263,	13,	1.1897966,	0.00608354319679726,	
8663.207241296768,	1.193807,	0.001193754925480291,	13,	1.193807,	0.00609058635449128,	
8664.006841182709,	1.1977857,	0.001194084030243632,	13,	1.1977857,	0.006092265460426694,	
8664.806541204453,	1.2018033,	0.001195527583294144,	13,	1.2018033,	0.006099630527010938,	
8665.606141090393,	1.2057923,	0.001196880088348916,	13,	1.2057923,	0.006106531063004674,	
8666.405741214752,	1.2097893,	0.001197018186441592,	13,	1.2097893,	0.006107235645110163,	
8667.205441236496,	1.2137783,	0.001197768231124541,	13,	1.2137783,	0.006111062403696637,	
8668.005041122437,	1.2177805,	0.001198474052356614,	13,	1.2177805,	0.006114663532431704,	
8668.804641246796,	1.2217871,	0.001198915501568306,	13,	1.2217871,	0.006116915824328092,	
8669.604241132736,	1.2257898,	0.001200722769488664,	13,	1.2257898,	0.006126136579023796,	
8670.403841257095,	1.2297816,	0.001200369920942869,	13,	1.2297816,	0.006124336331341168,	
8671.203441143036,	1.2337886,	0.001201045571485246,	13,	1.2337886,	0.006127783527985949,	
8672.003041028976,	1.2377926,	0.001201847316984604,	13,	1.2377926,	0.006131874066247979,	
8672.802641153336,	1.2417818,	0.001202653841173412,	13,	1.2417818,	0.006135988985578633,	
8673.602241039276,	1.2457823,	0.001203232663443504,	13,	1.2457823,	0.00613894216042604,	
8674.401841163635,	1.2497776,	0.001203576485362894,	13,	1.2497776,	0.006140696353892316,	
8675.201441049576,	1.2537842,	0.001205073901645659,	13,	1.2537842,	0.006148336232886015,	
8676.001041173935,	1.2577869,	0.001206097687193342,	13,	1.2577869,	0.006153559628537459,	
8676.800641059875,	1.2617849,	0.001206399852035208,	13,	1.2617849,	0.0061551012858939175,	
8677.600240945816,	1.2657912,	0.001207230268615426,	13,	1.2657912,	0.006159338105180745,	
8678.399841070175,	1.269778,	0.001207665925147105,	13,	1.269778,	0.006161560842587271,	
8679.199440956116,	1.2737858,	0.001208351957867278,	13,	1.2737858,	0.006165061009526928,	
8679.999041080475,	1.2777764,	0.001207953675167012,	13,	1.2777764,	0.006163028954933735,	
8680.798640966415,	1.2817652,	0.00120836878695652,	13,	1.2817652,	0.006165146872227143,	
8681.598241090775,	1.2857686,	0.001208975003229733,	13,	1.2857686,	0.006168239812396597,	
8682.397941112518,	1.2897497,	0.001209702017860593,	13,	1.2897497,	0.006171949070717311,	
8683.197540998459,	1.2937618,	0.001209859527777555,	13,	1.2937618,	0.006172752692742627,	
8683.9971408844,	1.29776,	0.001210301333887432,	13,	1.29776,	0.006175006805548122,	
8684.796840906143,	1.3017496,	0.001210158341117534,	13,	1.3017496,	0.006174277250599663,	
8685.596441030502,	1.3057624,	0.001210843914012452,	13,	1.3057624,	0.006177775071492101,	
8686.396040916443,	1.3097639,	0.001211352849434171,	13,	1.3097639,	0.0061803716807865864,	
8687.195641040802,	1.3137405,	0.001211103853797625,	13,	1.3137405,	0.0061791012948858425,	
8687.995240926743,	1.3177484,	0.001211397206886814,	13,	1.3177484,	0.00618059799432048,	
8688.794840812683,	1.3217502,	0.001211724254008926,	13,	1.3217502,	0.006182266602086357,	
8689.594440937042,	1.3257443,	0.001211457755371356,	13,	1.3257443,	0.006180906915159979,	
8690.394040822983,	1.3297284,	0.001211103060862312,	13,	1.3297284,	0.00617909724929751,	
8691.193640947342,	1.3337342,	0.001210637153586759,	13,	1.3337342,	0.006176720171361016,	
8691.993240833282,	1.3377117,	0.001211050894780112,	13,	1.3377117,	0.006178831095816898,	
8692.792840957642,	1.3417144,	0.001211739283414654,	13,	1.3417144,	0.006182343282727826,	
8693.592440843582,	1.3457291,	0.001211224440188653,	13,	1.3457291,	0.00617971653157476,	
8694.392040967941,	1.3497388,	0.001211257157675867,	13,	1.3497388,	0.006179883457529934,	
8695.191640853882,	1.3537276,	0.001211606300468394,	13,	1.3537276,	0.006181664798308132,	
8695.991240739822,	1.3577302,	0.001212412341555759,	13,	1.3577302,	0.006185777252835505,	
8696.790840864182,	1.3617257,	0.001212012504496839,	13,	1.3617257,	0.006183737267841015,	
8697.590440750122,	1.3657223,	0.001213252419605705,	13,	1.3657223,	0.006190063365335229,	
8698.390040874481,	1.3697339,	0.001214687481006225,	13,	1.3697339,	0.006197385107174617,	
8699.189740896225,	1.3737266,	0.001215341828868051,	13,	1.3737266,	0.0062007236166737294,	
8699.989340782166,	1.3777208,	0.001216523088791839,	13,	1.3777208,	0.006206750453019587,	
8700.788940668106,	1.3817109,	0.001217435151126073,	13,	1.3817109,	0.006211403832275883,	
8701.58864068985,	1.3857094,	0.001219564362752007,	13,	1.3857094,	0.006222267156897995,	
8702.388240814209,	1.3897001,	0.00122152861490551,	13,	1.3897001,	0.006232288851558724,	
8703.18784070015,	1.3937143,	0.001225333656767962,	13,	1.3937143,	0.006251702330448785,	
8703.987440824509,	1.397702,	0.001227585587713537,	13,	1.397702,	0.006263191774048657,	
8704.78704071045,	1.4016975,	0.001231716912185089,	13,	1.4016975,	0.006284269960128005,	
8705.586640834808,	1.4056942,	0.001236973877928437,	13,	1.4056942,	0.006311091213920596,	
8706.386240720749,	1.4096984,	0.00124158303573499,	13,	1.4096984,	0.0063346073251785194,	
8707.18584060669,	1.4136852,	0.001247545669167668,	13,	1.4136852,	0.006365028924324836,	
8707.985440731049,	1.4176683,	0.00125464031984187,	13,	1.4176683,	0.006401226121642194,	
8708.78504061699,	1.4217011,	0.001262397160657538,	13,	1.4217011,	0.006440801840089479,	
8709.584640741348,	1.4256907,	0.001271027610038651,	13,	1.4256907,	0.0064848347450951575,	
8710.384240627289,	1.4296917,	0.001280703791440574,	13,	1.4296917,	0.006534203017553949,	
8711.183840751648,	1.4336882,	0.00129204359485271,	13,	1.4336882,	0.006592059157411785,	
8711.983440637589,	1.4377069,	0.001304510584660759,	13,	1.4377069,	0.006655666248269179,	
8712.783040523529,	1.4417008,	0.001317734655458848,	13,	1.4417008,	0.00672313599723902,	
8713.582640647888,	1.4456989,	0.001333694415950198,	13,	1.4456989,	0.006804563346684683,	
8714.382340669632,	1.449688,	0.001349917303808942,	13,	1.449688,	0.006887333182698683,	
8715.181940555573,	1.4537066,	0.001368049236430524,	13,	1.4537066,	0.006979843043012877,	
8715.981540679932,	1.4576892,	0.001388247978734047,	13,	1.4576892,	0.0070828978506839125,	
8716.781240463257,	1.4616997,	0.001410966689657844,	13,	1.4616997,	0.007198809641111448,	
8717.580840587616,	1.465704,	0.001435160213215953,	13,	1.465704,	0.0073222459857956775,	
8718.380440473557,	1.4697083,	0.001462396879768429,	13,	1.4697083,	0.007461208570247087,	
8719.180040597916,	1.4736949,	0.001491350078431219,	13,	1.4736949,	0.007608928971587852,	
8719.979640483856,	1.4776831,	0.001523268810802166,	13,	1.4776831,	0.0077717796469498265,	
8720.779240608215,	1.4816831,	0.001556916922325777,	13,	1.4816831,	0.007943453685335597,	
8721.578840494156,	1.4856567,	0.00159548345560882,	13,	1.4856567,	0.008140221712289897,	
8722.378440618515,	1.4896653,	0.001637166786766227,	13,	1.4896653,	0.008352891769215444,	
8723.178040504456,	1.4936595,	0.001682359428435157,	13,	1.4936595,	0.008583466471607943,	
8723.977640390396,	1.497672,	0.001731415945270379,	13,	1.497672,	0.008833754822808055,	
8724.777240514755,	1.501668,	0.001784949975385697,	13,	1.501668,	0.009106887629518862,	
8725.576840400696,	1.5056682,	0.001842857869845782,	13,	1.5056682,	0.009402336070641745,	
8726.376440525055,	1.509676,	0.001906295044982655,	13,	1.509676,	0.009725995127462526,	
8727.176040410995,	1.5136863,	0.001974262544669789,	13,	1.5136863,	0.010072768085049944,	
8727.975640535355,	1.51767,	0.002048422763433679,	13,	1.51767,	0.010451136548131014,	
8728.775240421295,	1.5216688,	0.002129923555297311,	13,	1.5216688,	0.010866956914782198,	
8729.574840545654,	1.5256642,	0.002216924258513182,	13,	1.5256642,	0.011310838053638684,	
8730.374440431595,	1.5296713,	0.002311671342772444,	13,	1.5296713,	0.011794241544757366,	
8731.174140453339,	1.5336547,	0.002413608133476764,	13,	1.5336547,	0.012314327211616143,	
8731.97374033928,	1.5376631,	0.00252399683188597,	13,	1.5376631,	0.012877534856561072,	
8732.773340463638,	1.5416549,	0.002644679629366306,	13,	1.5416549,	0.013493263415134214,	
8733.573040485382,	1.545666,	0.002773947725600752,	13,	1.545666,	0.014152794518371183,	
8734.372640371323,	1.5496534,	0.002915370036829428,	13,	1.5496534,	0.014874336922599122,	
8735.172240257263,	1.5536621,	0.003069168560317546,	13,	1.5536621,	0.015659023266926253,	
8735.971840381622,	1.5576528,	0.003232383523082111,	13,	1.5576528,	0.01649175266878628,	
8736.771440267563,	1.5616478,	0.003410102568047193,	13,	1.5616478,	0.0173984824900367,	
8737.571040391922,	1.5656331,	0.003602385194924479,	13,	1.5656331,	0.018379516300635095,	
8738.370640277863,	1.5696321,	0.003810058119632228,	13,	1.5696321,	0.01943907203893994,	
8739.170240402222,	1.5736378,	0.004035025447101374,	13,	1.5736378,	0.02058686452602742,	
8739.969840288162,	1.5776303,	0.004276103781066373,	13,	1.5776303,	0.02181685602584884,	
8740.769440174103,	1.5816349,	0.004537230290709404,	13,	1.5816349,	0.02314913413627247,	
8741.569040298462,	1.5856283,	0.004814801417807421,	13,	1.5856283,	0.02456531335616031,	
8742.368640184402,	1.5896317,	0.005116834428017442,	13,	1.5896317,	0.026106298102129805,	
8743.168240308762,	1.5936084,	0.005444612969217971,	13,	1.5936084,	0.02777863759805087,	
8743.967840194702,	1.5976279,	0.005795891669336195,	13,	1.5976279,	0.029570875863960178,	
8744.767440319061,	1.6016386,	0.006173807419972782,	13,	1.6016386,	0.031499017448840726,	
8745.567040205002,	1.6056345,	0.006579454586154658,	13,	1.6056345,	0.03356864584772785,	
8746.306740283966,	1.6093341,	0.006981474597860443,	13,	1.6093341,	0.03561976835643083,	
8746.637240171432,	1.6112304,	0.007090813480317593,	13,	1.6112304,	0.03617761979753874,	
8746.677240133286,	1.6109591,	0.007004738232647675,	13,	1.6109591,	0.035738460370651405,	
8747.097040176392,	1.6088381,	0.006353360901498822,	13,	1.6088381,	0.03241510664030011,	
8747.89664030075,	1.6048262,	0.005313797996148478,	13,	1.6048262,	0.027111214266063662,	
8748.696240186691,	1.600817,	0.004496891902159676,	13,	1.600817,	0.02294332603142692,	
8749.495840072632,	1.5968221,	0.00383328324245524,	13,	1.5968221,	0.019557567563547144,	
8750.295440196991,	1.592813,	0.003287532037797622,	13,	1.592813,	0.016773122641824602,	
8751.095040082932,	1.5888286,	0.002832792409168831,	13,	1.5888286,	0.014453022495759341,	
8751.894740104675,	1.5848293,	0.002450139283551837,	13,	1.5848293,	0.012500710630366514,	
8752.694340229034,	1.580839,	0.002125204774326693,	13,	1.580839,	0.0108428815016668,	
8753.493940114975,	1.5768504,	0.001845957836093238,	13,	1.5768504,	0.009418152224965498,	
8754.293640136719,	1.5728391,	0.001606571211524119,	13,	1.5728391,	0.008196791895531219,	
8755.09324002266,	1.5688359,	0.001400661935676742,	13,	1.5688359,	0.007146234365697663,	
8755.892840147018,	1.5648296,	0.001222320732396037,	13,	1.5648296,	0.00623633026732672,	
8756.692440032959,	1.5608397,	0.001067914687151852,	13,	1.5608397,	0.005448544322203326,	
8757.492040157318,	1.5568494,	0.000933223488916066,	13,	1.5568494,	0.004761344331204418,	
8758.291640043259,	1.552852,	0.000815588315103203,	13,	1.552852,	0.004161164872975525,	
8759.091240167618,	1.548857,	0.000713103813642358,	13,	1.548857,	0.003638284763481418,	
8759.890840053558,	1.5448403,	0.0006234532785515737,	13,	1.5448403,	0.003180884074242723,	
8760.690439939499,	1.5408555,	0.0005447396121801909,	13,	1.5408555,	0.002779283735613219,	
8761.490040063858,	1.5368292,	0.0004757969861200655,	13,	1.5368292,	0.0024275356434697217,	
8762.289639949799,	1.5328341,	0.0004156886128898527,	13,	1.5328341,	0.002120860269846187,	
8763.089240074158,	1.5288551,	0.0003622931699549768,	13,	1.5288551,	0.0018484345405866164,	
8763.888839960098,	1.5248718,	0.0003155559824491299,	13,	1.5248718,	0.001609979502291479,	
8764.688440084457,	1.5208774,	0.0002739098888745323,	13,	1.5208774,	0.0013974994330333281,	
8765.488039970398,	1.5168791,	0.0002371672197170726,	13,	1.5168791,	0.0012100368352911867,	
8766.287640094757,	1.5128763,	0.0002048374955814945,	13,	1.5128763,	0.0010450892631708902,	
8767.087239980698,	1.5088905,	0.0001762289821026081,	13,	1.5088905,	0.0008991274597071841,	
8767.886839866638,	1.5048932,	0.0001512265469813213,	13,	1.5048932,	0.000771564015210823,	
8768.686539888382,	1.5008897,	0.0001287667832112405,	13,	1.5008897,	0.0006569733837308189,	
8769.486140012741,	1.4969018,	0.0001089227491565033,	13,	1.4969018,	0.0005557283120229759,	
8770.285739898682,	1.4928852,	9.11833960548778e-05,	13,	1.4928852,	0.0004652214084432541,	
8771.085439920425,	1.4888847,	7.553960099591982e-05,	13,	1.4888847,	0.0003854061275302031,	
8771.885039806366,	1.4849038,	6.16546184373936e-05,	13,	1.4849038,	0.00031456437978262037,	
8772.684639930725,	1.4809076,	4.980196316145026e-05,	13,	1.4809076,	0.00025409164878290947,	
8773.484239816666,	1.4769146,	3.859441877758243e-05,	13,	1.4769146,	0.00019691029988562464,	
8774.283839941025,	1.4729053,	2.849977784407721e-05,	13,	1.4729053,	0.00014540702981672045,	
8775.083439826965,	1.4689142,	1.97884070950292e-05,	13,	1.4689142,	0.00010096126068892448,	
8775.883039951324,	1.4648926,	1.18356695638742e-05,	13,	1.4648926,	6.0386069203439794e-05,	
8776.682639837265,	1.4609032,	5.130120888179702e-06,	13,	1.4609032,	2.6174086164182154e-05,	
8777.482239961624,	1.4569044,	-1.414870247028682e-06,	13,	1.4569044,	-7.218725750146336e-06,	
8778.281839847565,	1.4529098,	-6.860956422417256e-06,	13,	1.4529098,	-3.5004879706210484e-05,	
8779.081439733505,	1.448902,	-1.211697752959083e-05,	13,	1.448902,	-6.182131392648382e-05,	
8779.881039857864,	1.4449158,	-1.678158845114659e-05,	13,	1.4449158,	-8.562034924054382e-05,	
8780.680639743805,	1.4409174,	-2.08299427493586e-05,	13,	1.4409174,	-0.00010627521810897245,	
8781.480239868164,	1.4369106,	-2.496617698702722e-05,	13,	1.4369106,	-0.000127378454015445,	
8782.279839754105,	1.4329091,	-2.816115836099561e-05,	13,	1.4329091,	-0.00014367937939283474,	
8783.079439878464,	1.4289051,	-3.124546466059399e-05,	13,	1.4289051,	-0.0001594156360234387,	
8783.879039764404,	1.4249027,	-3.419503258675042e-05,	13,	1.4249027,	-0.0001744644519732164,	
8784.678639650345,	1.4209007,	-3.68557119284025e-05,	13,	1.4209007,	-0.00018803934657348213,	
8785.478339672089,	1.4168872,	-3.941872371033943e-05,	13,	1.4168872,	-0.00020111593729765017,	
8786.277939796448,	1.4129084,	-4.162313958389226e-05,	13,	1.4129084,	-0.00021236295706067478,	
8787.077539682388,	1.4089136,	-4.412253167444179e-05,	13,	1.4089136,	-0.0002251149575226622,	
8787.877239704132,	1.4048953,	-4.618388720137122e-05,	13,	1.4048953,	-0.00023563207755801643,	
8788.676839828491,	1.4008921,	-4.798073775741455e-05,	13,	1.4008921,	-0.0002447996824357885,	
8789.476439714432,	1.3968889,	-4.98140096192967e-05,	13,	1.3968889,	-0.00025415311030253416,	
8790.276039600372,	1.3928955,	-5.151910974446171e-05,	13,	1.3928955,	-0.0002628526007370495,	
8791.075639724731,	1.3889042,	-5.353781946165742e-05,	13,	1.3889042,	-0.000273152140110497,	
8791.875239610672,	1.3848915,	-5.503266154677087e-05,	13,	1.3848915,	-0.00028077888544270855,	
8792.674839735031,	1.3809166,	-5.633558100152794e-05,	13,	1.3809166,	-0.00028742643368126497,	
8793.474439620972,	1.3769217,	-5.823777099204196e-05,	13,	1.3769217,	-0.00029713148465327526,	
8794.27403974533,	1.3729181,	-5.977409778593808e-05,	13,	1.3729181,	-0.0003049698866629494,	
8795.073639631271,	1.3689293,	-6.11957809173166e-05,	13,	1.3689293,	-0.0003122233720271255,	
8795.873239517212,	1.3649157,	-6.27912167184685e-05,	13,	1.3649157,	-0.0003203633506044311,	
8796.672839641571,	1.3609246,	-6.427936972303603e-05,	13,	1.3609246,	-0.0003279559679746736,	
8797.472439527512,	1.3569272,	-6.538204057980807e-05,	13,	1.3569272,	-0.00033358183969289833,	
8798.27203965187,	1.35291,	-6.667921263101787e-05,	13,	1.35291,	-0.00034020006444396875,	
8799.071639537811,	1.3489186,	-6.797037451687312e-05,	13,	1.3489186,	-0.00034678762508608737,	
8799.87123966217,	1.3449376,	-6.934099489429269e-05,	13,	1.3449376,	-0.0003537805861953709,	
8800.670939683914,	1.3409262,	-7.040191799738589e-05,	13,	1.3409262,	-0.00035919345917033614,	
8801.470539569855,	1.3369287,	-7.201031209379651e-05,	13,	1.3369287,	-0.00036739955149896176,	
8802.270139455795,	1.3329257,	-7.324188484422403e-05,	13,	1.3329257,	-0.0003736830859399185,	
8803.069839477539,	1.3289307,	-7.419149181119998e-05,	13,	1.3289307,	-0.00037852801944489783,	
8803.869439601898,	1.3249418,	-7.575148508895716e-05,	13,	1.3249418,	-0.00038648716882121,	
8804.669039487839,	1.320935,	-7.681261199452947e-05,	13,	1.320935,	-0.00039190108160474217,	
8805.468639612198,	1.3169477,	-7.823417278507547e-05,	13,	1.3169477,	-0.0003991539427809973,	
8806.268239498138,	1.3129287,	-7.919893747804403e-05,	13,	1.3129287,	-0.0004040762116226736,	
8807.067839384079,	1.3089386,	-8.060992426095481e-05,	13,	1.3089386,	-0.0004112751237803817,	
8807.867439508438,	1.3049533,	-8.191173793984708e-05,	13,	1.3049533,	-0.00041791703030534224,	
8808.667039394379,	1.3009492,	-8.297757725128489e-05,	13,	1.3009492,	-0.0004233549859759433,	
8809.466639518738,	1.296946,	-8.42810145742388e-05,	13,	1.296946,	-0.00043000517639917756,	
8810.266239404678,	1.2929449,	-8.574632699574368e-05,	13,	1.2929449,	-0.0004374812601823657,	
8811.065839529037,	1.2889612,	-8.691602154890405e-05,	13,	1.2889612,	-0.0004434490895352247,	
8811.865439414978,	1.284952,	-8.83560743025636e-05,	13,	1.284952,	-0.0004507962974620592,	
8812.665039539337,	1.2809485,	-8.981843869292018e-05,	13,	1.2809485,	-0.00045825734027000087,	
8813.464639425278,	1.2769569,	-9.081931337384815e-05,	13,	1.2769569,	-0.0004633638437441232,	
8814.264239311218,	1.2729828,	-9.242255176583744e-05,	13,	1.2729828,	-0.00047154363145835424,	
8815.063839435577,	1.2689644,	-9.360188826625744e-05,	13,	1.2689644,	-0.0004775606544196808,	
8815.863439321518,	1.2649623,	-9.527000669919606e-05,	13,	1.2649623,	-0.0004860714627510003,	
8816.663039445877,	1.260965,	-9.649893458919898e-05,	13,	1.260965,	-0.0004923415030061172,	
8817.462639331818,	1.2569661,	-9.810162032578286e-05,	13,	1.2569661,	-0.0005005184710499125,	
8818.262339353561,	1.2529609,	-0.0001000167570662123,	13,	1.2529609,	-0.0005102895768684301,	
8819.061939239502,	1.2489578,	-0.0001013111185369813,	13,	1.2489578,	-0.0005168934619233739,	
8819.861539363861,	1.2449614,	-0.0001030640413858961,	13,	1.2449614,	-0.0005258369458464086,	
8820.661239385605,	1.2409608,	-0.0001047679223810118,	13,	1.2409608,	-0.000534530216229652,	
8821.460839271545,	1.2369722,	-0.0001064738342579116,	13,	1.2369722,	-0.0005432338482546509,	
8822.260439395905,	1.2329638,	-0.0001083146084482295,	13,	1.2329638,	-0.0005526255533072934,	
8823.060039281845,	1.2289839,	-0.0001100950272258363,	13,	1.2289839,	-0.0005617093225807974,	
8823.859639167786,	1.2249573,	-0.0001123167714110515,	13,	1.2249573,	-0.0005730447520972016,	
8824.659239292145,	1.220971,	-0.0001138425260800982,	13,	1.220971,	-0.0005808292146943785,	
8825.458839178085,	1.2169777,	-0.0001160326325580128,	13,	1.2169777,	-0.0005920032273367999,	
8826.258439302444,	1.212979,	-0.0001180276805022676,	13,	1.212979,	-0.0006021820433789163,	
8827.058039188385,	1.2089787,	-0.0001199689398369704,	13,	1.2089787,	-0.0006120864277396449,	
8827.857639312744,	1.204981,	-0.000122185024618097,	13,	1.204981,	-0.0006233929827453928,	
8828.657239198685,	1.2009981,	-0.0001246792527175089,	13,	1.2009981,	-0.0006361186363138209,	
8829.456839323044,	1.1970028,	-0.0001266056062088777,	13,	1.1970028,	-0.0006459469704534576,	
8830.256439208984,	1.1930022,	-0.0001294721263615096,	13,	1.1930022,	-0.0006605720732730081,	
8831.056039094925,	1.188987,	-0.0001318347774259463,	13,	1.188987,	-0.0006726264154385015,	
8831.855639219284,	1.1849939,	-0.0001338933799390343,	13,	1.1849939,	-0.0006831294894848689,	
8832.655239105225,	1.1809963,	-0.0001367426003852006,	13,	1.1809963,	-0.0006976663284959213,	
8833.454839229584,	1.176996,	-0.0001393713440256967,	13,	1.176996,	-0.0007110782858453913,	
8834.254539251328,	1.1730186,	-0.00014157299313352,	13,	1.1730186,	-0.0007223111894567346,	
8835.054139137268,	1.1690168,	-0.0001448113320594191,	13,	1.1690168,	-0.0007388333268337709,	
8835.853839159012,	1.1650206,	-0.0001474718133645813,	13,	1.1650206,	-0.000752407211043782,	
8836.653439044952,	1.1610031,	-0.0001508477868910513,	13,	1.1610031,	-0.0007696315657706699,	
8837.453039169312,	1.157028,	-0.000153197728141027,	13,	1.157028,	-0.0007816210619440154,	
8838.252639055252,	1.1530244,	-0.0001569174158706915,	13,	1.1530244,	-0.0008005990605647525,	
8839.052239179611,	1.1490185,	-0.0001600838400196282,	13,	1.1490185,	-0.0008167542858144296,	
8839.851839065552,	1.145021,	-0.0001632794128831356,	13,	1.145021,	-0.0008330582289955898,	
8840.65143918991,	1.1410139,	-0.0001663810582660228,	13,	1.1410139,	-0.0008488829503368509,	
8841.451039075851,	1.1370287,	-0.0001704976651987042,	13,	1.1370287,	-0.0008698860469321643,	
8842.250638961792,	1.1330261,	-0.0001737974502173647,	13,	1.1330261,	-0.000886721684782473,	
8843.050239086151,	1.1290135,	-0.0001778970421543059,	13,	1.1290135,	-0.00090763797017503,	
8843.849838972092,	1.1250346,	-0.0001810021100168381,	13,	1.1250346,	-0.0009234801531471332,	
8844.64943909645,	1.1210554,	-0.0001849336894274313,	13,	1.1210554,	-0.0009435392317726086,	
8845.449038982391,	1.1170477,	-0.0001891081512932222,	13,	1.1170477,	-0.0009648375065980725,	
8846.24863910675,	1.1130457,	-0.0001935142708066715,	13,	1.1130457,	-0.0009873177081973037,	
8847.048238992691,	1.1090523,	-0.0001980431787017515,	13,	1.1090523,	-0.0010104243811313851,	
8847.847838878632,	1.1050367,	-0.0002025548685974433,	13,	1.1050367,	-0.0010334432071298126,	
8848.64743900299,	1.1010445,	-0.0002073365737319565,	13,	1.1010445,	-0.0010578396618977372,	
8849.447139024734,	1.0970508,	-0.0002121478078949417,	13,	1.0970508,	-0.0010823867749741923,	
8850.246738910675,	1.0930598,	-0.0002172632051976467,	13,	1.0930598,	-0.0011084857408043198,	
8851.046339035034,	1.0890572,	-0.0002223270491366297,	13,	1.0890572,	-0.0011343216792685188,	
8851.845938920975,	1.0850415,	-0.0002278097982980165,	13,	1.0850415,	-0.0011622948892755943,	
8852.645638942719,	1.081038,	-0.0002333661134393279,	13,	1.081038,	-0.0011906434359149382,	
8853.445238828659,	1.0770588,	-0.0002390143482935666,	13,	1.0770588,	-0.0012194609606814622,	
8854.244838953018,	1.0730498,	-0.0002445757587988817,	13,	1.0730498,	-0.0012478355040759271,	
8855.044438838959,	1.0690619,	-0.0002507769325056303,	13,	1.0690619,	-0.0012794741454368892,	
8855.844038963318,	1.0650618,	-0.000257171347505184,	13,	1.0650618,	-0.001312098711761143,	
8856.643638849258,	1.0610546,	-0.0002639535178795786,	13,	1.0610546,	-0.0013467016218345848,	
