name = zilien_data_COstrip_11-11-21.csv AND 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC-MS
tstamp = 1636617385.0
backend_name = memory
id = 7
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M40-x' for: 'M40'
timecol 'M32-x' for: 'M32'
timecol 'M4-x' for: 'M4'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
N_header_lines = 16

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	M28-x,	M28,	M18-x,	M18,	M40-x,	M40,	M32-x,	M32,	M4-x,	M4,	M44-x,	M44,	M2-x,	M2
13527.31439781189,	0.05108064,	-0.001412183348555116,	17,	0.05108064,	-0.007205017084464877,	13533.960000038147,	1.124592e-10,	13533.890000104904,	1.335943e-09,	13534.109999895096,	2.248625e-12,	13534.039999961853,	2.31455e-10,	13533.819999933243,	1.848742e-08,	13534.19000005722,	9.984149e-12,	13534.299999952316,	2.916654e-10,	
13527.41439795494,	0.051099744,	-0.001393479743506759,	17,	0.051099744,	-0.0071095905280957085,	13534.52999997139,	1.138376e-10,	13534.450000047684,	1.335901e-09,	13534.680000066757,	2.244571e-12,	13534.599999904633,	2.322714e-10,	13534.380000114441,	1.853522e-08,	13534.75,	1.005992e-11,	13534.869999885559,	2.897198e-10,	
13527.514397859573,	0.051149361,	-0.001421704601496456,	17,	0.051149361,	-0.0072535949055941625,	13535.08999991417,	1.144199e-10,	13535.019999980927,	1.332417e-09,	13535.240000009537,	2.230748e-12,	13535.16000008583,	2.312072e-10,	13534.94000005722,	1.846488e-08,	13535.30999994278,	1.003751e-11,	13535.430000066757,	2.902933e-10,	
13527.614398002625,	0.051092058,	-0.001379984788130969,	17,	0.051092058,	-0.007040738714953924,	13535.650000095367,	1.133559e-10,	13535.579999923706,	1.32794e-09,	13535.799999952316,	2.213023e-12,	13535.730000019073,	2.297723e-10,	13535.5,	1.844486e-08,	13535.880000114441,	1.022257e-11,	13535.990000009537,	2.895809e-10,	
13527.714397907257,	0.051149435,	-0.001381288443459201,	17,	0.051149435,	-0.0070473900176489844,	13536.22000002861,	1.136905e-10,	13536.140000104904,	1.332542e-09,	13536.359999895096,	2.279945e-12,	13536.289999961853,	2.305971e-10,	13536.069999933243,	1.853115e-08,	13536.44000005722,	1.014929e-11,	13536.549999952316,	2.902028e-10,	
13527.81439781189,	0.051095936,	-0.00137618047767319,	17,	0.051095936,	-0.007021328967720356,	13536.77999997139,	1.131553e-10,	13536.700000047684,	1.331641e-09,	13536.930000066757,	2.180821e-12,	13536.849999904633,	2.302697e-10,	13536.630000114441,	1.848771e-08,	13537.0,	1.010089e-11,	13537.119999885559,	2.908452e-10,	
13527.91439795494,	0.051099744,	-0.001390283476328479,	17,	0.051099744,	-0.0070932830424922395,	13537.33999991417,	1.133795e-10,	13537.269999980927,	1.334724e-09,	13537.490000009537,	2.133102e-12,	13537.420000076294,	2.307375e-10,	13537.19000005722,	1.850398e-08,	13537.55999994278,	1.016839e-11,	13537.680000066757,	2.913098e-10,	
13528.014397859573,	0.051118843,	-0.001356033091433347,	17,	0.051118843,	-0.006918536180782382,	13537.900000095367,	1.141285e-10,	13537.829999923706,	1.336733e-09,	13538.049999952316,	2.128988e-12,	13537.980000019073,	2.300795e-10,	13537.75,	1.850269e-08,	13538.130000114441,	1.011099e-11,	13538.240000009537,	2.915654e-10,	
13528.114398002625,	0.05111504,	-0.001368710666894914,	17,	0.05111504,	-0.006983217688239357,	13538.47000002861,	1.135562e-10,	13538.390000104904,	1.336504e-09,	13538.619999885559,	2.208781e-12,	13538.539999961853,	2.297894e-10,	13538.319999933243,	1.851667e-08,	13538.69000005722,	9.963636e-12,	13538.80999994278,	2.90698e-10,	
13528.214397907257,	0.051145557,	-0.001359717190731316,	17,	0.051145557,	-0.00693733260577202,	13539.02999997139,	1.133311e-10,	13538.950000047684,	1.328498e-09,	13539.180000066757,	2.178857e-12,	13539.099999904633,	2.299941e-10,	13538.880000114441,	1.850414e-08,	13539.25,	1.001903e-11,	13539.369999885559,	2.898797e-10,	
