ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = BackendBase(none, address=none)
id = 4
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 11

time/s,	Ewe/V,	<I>/mA,	selector
12283.814397335052,	0.051126454,	-0.0001521840314526344,	0
12283.914397478104,	0.051134139,	-0.0001521700600715121,	0
12284.014397382736,	0.051137947,	-0.0001522475155070423,	0
12284.114397287369,	0.051153168,	-0.0001525090927752899,	0
12284.21439743042,	0.051122651,	-0.0001526150127028813,	0
12284.314397335052,	0.051092058,	-0.0001522665079537547,	0
12284.414397478104,	0.051118843,	-0.0001524226400506451,	0
12284.514397382736,	0.051149435,	-0.0001523413713584889,	0
12284.614397287369,	0.051157046,	-0.0001529800673597495,	0
12284.71439743042,	0.051183835,	-0.0001522114982799392,	0
12284.814397335052,	0.051107354,	-0.0001529503069614294,	0
12284.914397478104,	0.051122651,	-0.0001532614104944514,	0
12285.014397382736,	0.051134139,	-0.0001529901369503935,	0
12285.114397287369,	0.051149435,	-0.0001531622825132217,	0
12285.21439743042,	0.051118843,	-0.0001533049793943064,	0
12285.314397335052,	0.051134139,	-0.000153168002521852,	0
12285.414397478104,	0.051137947,	-0.0001530724636395462,	0
12285.514397382736,	0.05114175,	-0.0001534965035098145,	0
12285.614397287369,	0.051134065,	-0.000153007833141601,	0
12285.71439743042,	0.051084448,	-0.0001535620579670655,	0
12285.814397335052,	0.051126454,	-0.000153984116812353,	0
12285.914397478104,	0.051076833,	-0.0001536111230525421,	0
12286.014397382736,	0.051130261,	-0.0001538237096101512,	0
12286.114397287369,	0.051179953,	-0.0001534406463179038,	0
12286.21439743042,	0.051168539,	-0.00015390277375991,	0
12286.314397335052,	0.051137947,	-0.0001536846766393863,	0
12286.414397478104,	0.051137947,	-0.0001539657959074248,	0
12286.514397382736,	0.051126529,	-0.0001538891891541424,	0
12286.614397287369,	0.051126529,	-0.0001539956310443816,	0
12286.71439743042,	0.051092058,	-0.0001540423422702591,	0
12286.814397335052,	0.051153243,	-0.0001536649999034131,	0
