name = zilien_data_COstrip_11-11-21.csv AND 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC-MS
tstamp = 1636617385.0
backend_name = memory
id = 6
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M40-x' for: 'M40'
timecol 'M32-x' for: 'M32'
timecol 'M4-x' for: 'M4'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
N_header_lines = 16

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	M28-x,	M28,	M18-x,	M18,	M40-x,	M40,	M32-x,	M32,	M4-x,	M4,	M44-x,	M44,	M2-x,	M2
8427.671659708023,	0.051126454,	-0.001480915941391141,	11,	0.051126454,	-0.007555693578526229,	8420.009000062943,	1.158405e-10,	8419.934000015259,	1.400986e-09,	8420.15799999237,	2.278264e-12,	8420.082999944687,	2.391786e-10,	8419.859999895096,	1.942302e-08,	8420.232000112534,	1.048674e-11,	8419.78500008583,	2.664622e-10,	
8428.671659708023,	0.051134065,	-0.001401840026769787,	11,	0.051134065,	-0.007152245034539729,	8420.572000026703,	1.155153e-10,	8420.49699997902,	1.404168e-09,	8420.720999956131,	2.319747e-12,	8420.645999908447,	2.397738e-10,	8420.423000097275,	1.945315e-08,	8420.795000076294,	1.047453e-11,	8420.348000049591,	2.694524e-10,	
8429.671659708023,	0.051160853,	-0.001344052054081113,	11,	0.051160853,	-0.006857408439189351,	8421.134000062943,	1.156438e-10,	8421.05999994278,	1.399448e-09,	8421.28299999237,	2.114663e-12,	8421.209000110626,	2.385111e-10,	8420.984999895096,	1.936846e-08,	8421.358000040054,	1.065719e-11,	8420.911000013351,	2.684751e-10,	
8430.671659708023,	0.051160853,	-0.001314133438467979,	11,	0.051160853,	-0.0067047624411631585,	8421.697000026703,	1.14484e-10,	8421.62299990654,	1.399886e-09,	8421.845999956131,	2.148758e-12,	8421.772000074387,	2.383572e-10,	8421.548000097275,	1.938766e-08,	8421.921000003815,	1.058082e-11,	8421.473999977112,	2.73064e-10,	
8431.671659708023,	0.051149361,	-0.001288425662601367,	11,	0.051149361,	-0.006573600319394729,	8422.260999917984,	1.161977e-10,	8422.186000108719,	1.395862e-09,	8422.41000008583,	2.172821e-12,	8422.335000038147,	2.398059e-10,	8422.111999988556,	1.93852e-08,	8422.483999967575,	1.040106e-11,	8422.036999940872,	2.770605e-10,	
8432.671659708023,	0.051160853,	-0.001268976004119033,	11,	0.051160853,	-0.0064743673679542495,	8422.822999954224,	1.160028e-10,	8422.74900007248,	1.401821e-09,	8422.971999883652,	2.290922e-12,	8422.898000001907,	2.386301e-10,	8422.674000024796,	1.944951e-08,	8423.046999931335,	1.045499e-11,	8422.599999904633,	2.821115e-10,	
8433.671659469604,	0.051160853,	-0.001253137564356441,	11,	0.051160853,	-0.006393559001818577,	8423.385999917984,	1.154178e-10,	8423.31200003624,	1.399093e-09,	8423.53500008583,	2.317287e-12,	8423.460999965668,	2.377534e-10,	8423.236999988556,	1.937705e-08,	8423.609999895096,	1.067079e-11,	8423.163000106812,	2.852711e-10,	
8434.671659469604,	0.051164657,	-0.001245644893450663,	11,	0.051164657,	-0.006355331089033995,	8423.948999881744,	1.152715e-10,	8423.87400007248,	1.404096e-09,	8424.098000049591,	2.124345e-12,	8424.023000001907,	2.405728e-10,	8423.799999952316,	1.937316e-08,	8424.171999931335,	1.051625e-11,	8423.724999904633,	2.907159e-10,	
8435.671659469604,	0.051172342,	-0.001237123585306112,	11,	0.051172342,	-0.006311855027072,	8424.512000083923,	1.154442e-10,	8424.43700003624,	1.399852e-09,	8424.661000013351,	2.241321e-12,	8424.585999965668,	2.384943e-10,	8424.362999916077,	1.943315e-08,	8424.734999895096,	1.051755e-11,	8424.288000106812,	2.926762e-10,	
8436.671659469604,	0.051130261,	-0.001226059484016152,	11,	0.051130261,	-0.0062554055306946535,	8425.073999881744,	1.146778e-10,	8425.0,	1.403477e-09,	8425.223000049591,	2.326901e-12,	8425.148999929428,	2.393873e-10,	8424.924999952316,	1.941791e-08,	8425.298000097275,	1.049297e-11,	8424.851000070572,	2.949159e-10,	
