ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip.tsv
technique = MS
tstamp = 1636617385.0
backend_name = BackendBase(none, address=none)
id = 2
timecol 'M2-x' for: 'M2'
timecol 'M32-x' for: 'M32'
timecol 'M40-x' for: 'M40'
timecol 'time/s' for: 'Ewe/V' and 'cycle number' and 'I/mA'
timecol 'M44-x' for: 'M44'
timecol 'M4-x' for: 'M4'
timecol 'M18-x' for: 'M18'
timecol 'M28-x' for: 'M28'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

M2-x,	M2,	M32-x,	M32,	M40-x,	M40,	time/s,	Ewe/V,	cycle number,	M44-x,	M44,	M4-x,	M4,	M18-x,	M18,	M28-x,	M28,	I/mA
13521.920000076294,	2.618143e-10,	13521.66000008583,	2.308503e-10,	13521.730000019073,	2.176367e-12,	13506.69000005722,	0.1203054,	18.0,	13521.80999994278,	1.010765e-11,	13521.44000005722,	1.848064e-08,	13521.509999990463,	1.330904e-09,	13521.58999991417,	1.143616e-10,	-0.002579722
13522.490000009537,	2.64523e-10,	13522.22000002861,	2.312589e-10,	13522.299999952316,	2.328416e-12,	13506.849999904633,	0.1194955,	18.0,	13522.369999885559,	1.011298e-11,	13522.0,	1.847594e-08,	13522.069999933243,	1.333711e-09,	13522.150000095367,	1.13798e-10,	-0.002589222
13523.049999952316,	2.687351e-10,	13522.789999961853,	2.298559e-10,	13522.859999895096,	2.302457e-12,	13507.009999990463,	0.1187468,	18.0,	13522.930000066757,	1.014851e-11,	13522.55999994278,	1.847861e-08,	13522.640000104904,	1.333377e-09,	13522.710000038147,	1.146266e-10,	-0.002479492
13523.609999895096,	2.738349e-10,	13523.349999904633,	2.298597e-10,	13523.420000076294,	2.248233e-12,	13507.180000066757,	0.1178911,	18.0,	13523.5,	1.027422e-11,	13523.119999885559,	1.847989e-08,	13523.200000047684,	1.332794e-09,	13523.269999980927,	1.139557e-10,	-0.002409251
13524.180000066757,	2.774021e-10,	13523.91000008583,	2.306113e-10,	13523.990000009537,	2.255456e-12,	13507.33999991417,	0.117039,	18.0,	13524.05999994278,	1.019404e-11,	13523.69000005722,	1.851384e-08,	13523.759999990463,	1.335177e-09,	13523.83999991417,	1.141597e-10,	-0.002491206
13524.740000009537,	2.810219e-10,	13524.47000002861,	2.311695e-10,	13524.549999952316,	2.303733e-12,	13507.509999990463,	0.1162253,	18.0,	13524.619999885559,	1.022458e-11,	13524.25,	1.8495e-08,	13524.319999933243,	1.336838e-09,	13524.400000095367,	1.139026e-10,	-0.0016788
13525.299999952316,	2.834974e-10,	13525.02999997139,	2.31449e-10,	13525.109999895096,	2.248593e-12,	13507.680000066757,	0.1153696,	18.0,	13525.180000066757,	1.012203e-11,	13524.80999994278,	1.850034e-08,	13524.890000104904,	1.334626e-09,	13524.960000038147,	1.142234e-10,	-0.002166633
13525.859999895096,	2.840888e-10,	13525.599999904633,	2.309533e-10,	13525.670000076294,	2.211093e-12,	13507.83999991417,	0.1145673,	18.0,	13525.75,	1.004064e-11,	13525.380000114441,	1.848325e-08,	13525.450000047684,	1.328358e-09,	13525.519999980927,	1.13748e-10,	-0.001799099
13526.430000066757,	2.856428e-10,	13526.16000008583,	2.300421e-10,	13526.240000009537,	2.178806e-12,	13508.0,	0.1137612,	18.0,	13526.30999994278,	1.012976e-11,	13525.94000005722,	1.846003e-08,	13526.009999990463,	1.328718e-09,	13526.08999991417,	1.133932e-10,	-0.001293525
13526.990000009537,	2.888376e-10,	13526.72000002861,	2.309679e-10,	13526.799999952316,	2.307886e-12,	13508.170000076294,	0.1129208,	18.0,	13526.869999885559,	1.005148e-11,	13526.5,	1.840087e-08,	13526.579999923706,	1.32968e-09,	13526.650000095367,	1.13258e-10,	-0.002384375
13527.549999952316,	2.870841e-10,	13527.289999961853,	2.301908e-10,	13527.359999895096,	2.242888e-12,	13508.319999933243,	0.1120993,	18.0,	13527.44000005722,	1.020654e-11,	13527.05999994278,	1.848432e-08,	13527.140000104904,	1.3359e-09,	13527.210000038147,	1.144718e-10,	-0.002265985
13528.109999895096,	2.878641e-10,	13527.849999904633,	2.307326e-10,	13527.920000076294,	2.161203e-12,	13508.480000019073,	0.111362,	18.0,	13528.0,	9.990535e-12,	13527.630000114441,	1.846107e-08,	13527.700000047684,	1.330673e-09,	13527.769999980927,	1.14258e-10,	-0.002173767
13528.680000066757,	2.889522e-10,	13528.41000008583,	2.309372e-10,	13528.490000009537,	2.406274e-12,	13508.650000095367,	0.1104948,	18.0,	13528.55999994278,	9.968512e-12,	13528.19000005722,	1.843178e-08,	13528.259999990463,	1.332079e-09,	13528.33999991417,	1.128777e-10,	-0.002315241
13529.240000009537,	2.891132e-10,	13528.97000002861,	2.31653e-10,	13529.049999952316,	2.278642e-12,	13508.819999933243,	0.1096543,	18.0,	13529.119999885559,	1.000835e-11,	13528.75,	1.851808e-08,	13528.819999933243,	1.330157e-09,	13528.900000095367,	1.143529e-10,	-0.001985823
13529.799999952316,	2.8927e-10,	13529.539999961853,	2.316197e-10,	13529.609999895096,	2.129081e-12,	13508.980000019073,	0.1087871,	18.0,	13529.69000005722,	1.044656e-11,	13529.30999994278,	1.849671e-08,	13529.390000104904,	1.331711e-09,	13529.460000038147,	1.141137e-10,	-0.001969188
13530.359999895096,	2.896915e-10,	13530.099999904633,	2.314002e-10,	13530.170000076294,	2.128878e-12,	13509.200000047684,	0.1077288,	18.0,	13530.25,	1.021037e-11,	13529.880000114441,	1.855425e-08,	13529.950000047684,	1.339898e-09,	13530.02999997139,	1.154833e-10,	-0.002353433
13530.930000066757,	2.894377e-10,	13530.66000008583,	2.297568e-10,	13530.740000009537,	2.257091e-12,	13509.359999895096,	0.1069495,	18.0,	13530.80999994278,	1.017994e-11,	13530.44000005722,	1.848777e-08,	13530.509999990463,	1.334717e-09,	13530.58999991417,	1.132801e-10,	-0.002000168
13531.490000009537,	2.916845e-10,	13531.230000019073,	2.307795e-10,	13531.299999952316,	2.269662e-12,	13509.509999990463,	0.1061511,	18.0,	13531.369999885559,	1.015721e-11,	13531.0,	1.844398e-08,	13531.079999923706,	1.328444e-09,	13531.150000095367,	1.131022e-10,	-0.001147816
13532.049999952316,	2.905194e-10,	13531.789999961853,	2.324318e-10,	13531.859999895096,	2.182487e-12,	13509.670000076294,	0.1053908,	18.0,	13531.94000005722,	1.008481e-11,	13531.55999994278,	1.848779e-08,	13531.640000104904,	1.331901e-09,	13531.710000038147,	1.138645e-10,	-0.00134507
13532.619999885559,	2.908271e-10,	13532.349999904633,	2.315676e-10,	13532.420000076294,	2.110425e-12,	13509.829999923706,	0.1046382,	18.0,	13532.5,	1.008159e-11,	13532.130000114441,	1.850297e-08,	13532.200000047684,	1.330804e-09,	13532.27999997139,	1.13702e-10,	-0.001542783
13533.180000066757,	2.917024e-10,	13532.91000008583,	2.289199e-10,	13532.990000009537,	2.26729e-12,	13510.0,	0.1037825,	18.0,	13533.05999994278,	1.021114e-11,	13532.69000005722,	1.847872e-08,	13532.759999990463,	1.330359e-09,	13532.83999991417,	1.129475e-10,	-0.00197823
13533.740000009537,	2.908171e-10,	13533.480000019073,	2.302876e-10,	13533.549999952316,	2.24463e-12,	13510.16000008583,	0.1029878,	18.0,	13533.630000114441,	1.014086e-11,	13533.25,	1.847307e-08,	13533.329999923706,	1.330351e-09,	13533.400000095367,	1.13434e-10,	-0.001825768
13534.299999952316,	2.916654e-10,	13534.039999961853,	2.31455e-10,	13534.109999895096,	2.248625e-12,	13510.30999994278,	0.1022123,	18.0,	13534.19000005722,	9.984149e-12,	13533.819999933243,	1.848742e-08,	13533.890000104904,	1.335943e-09,	13533.960000038147,	1.124592e-10,	-0.0011184
13534.869999885559,	2.897198e-10,	13534.599999904633,	2.322714e-10,	13534.680000066757,	2.244571e-12,	13510.47000002861,	0.1013985,	18.0,	13534.75,	1.005992e-11,	13534.380000114441,	1.853522e-08,	13534.450000047684,	1.335901e-09,	13534.52999997139,	1.138376e-10,	-0.001444499
13535.430000066757,	2.902933e-10,	13535.16000008583,	2.312072e-10,	13535.240000009537,	2.230748e-12,	13510.640000104904,	0.1005848,	18.0,	13535.30999994278,	1.003751e-11,	13534.94000005722,	1.846488e-08,	13535.019999980927,	1.332417e-09,	13535.08999991417,	1.144199e-10,	-0.002090287
13535.990000009537,	2.895809e-10,	13535.730000019073,	2.297723e-10,	13535.799999952316,	2.213023e-12,	13510.799999952316,	0.09979019,	18.0,	13535.880000114441,	1.022257e-11,	13535.5,	1.844486e-08,	13535.579999923706,	1.32794e-09,	13535.650000095367,	1.133559e-10,	-0.001933666
13536.549999952316,	2.902028e-10,	13536.289999961853,	2.305971e-10,	13536.359999895096,	2.279945e-12,	13510.960000038147,	0.09902224,	18.0,	13536.44000005722,	1.014929e-11,	13536.069999933243,	1.853115e-08,	13536.140000104904,	1.332542e-09,	13536.22000002861,	1.136905e-10,	-0.001838588
13537.119999885559,	2.908452e-10,	13536.849999904633,	2.302697e-10,	13536.930000066757,	2.180821e-12,	13511.140000104904,	0.09808252,	18.0,	13537.0,	1.010089e-11,	13536.630000114441,	1.848771e-08,	13536.700000047684,	1.331641e-09,	13536.77999997139,	1.131553e-10,	-0.001815276
13537.680000066757,	2.913098e-10,	13537.420000076294,	2.307375e-10,	13537.490000009537,	2.133102e-12,	13511.299999952316,	0.09721906,	18.0,	13537.55999994278,	1.016839e-11,	13537.19000005722,	1.850398e-08,	13537.269999980927,	1.334724e-09,	13537.33999991417,	1.133795e-10,	-0.00202596
13538.240000009537,	2.915654e-10,	13537.980000019073,	2.300795e-10,	13538.049999952316,	2.128988e-12,	13511.460000038147,	0.09645499,	18.0,	13538.130000114441,	1.011099e-11,	13537.75,	1.850269e-08,	13537.829999923706,	1.336733e-09,	13537.900000095367,	1.141285e-10,	-0.002064648
13538.80999994278,	2.90698e-10,	13538.539999961853,	2.297894e-10,	13538.619999885559,	2.208781e-12,	13511.609999895096,	0.09569472,	18.0,	13538.69000005722,	9.963636e-12,	13538.319999933243,	1.851667e-08,	13538.390000104904,	1.336504e-09,	13538.47000002861,	1.135562e-10,	-0.002174187
13539.369999885559,	2.898797e-10,	13539.099999904633,	2.299941e-10,	13539.180000066757,	2.178857e-12,	13511.75,	0.09500325,	18.0,	13539.25,	1.001903e-11,	13538.880000114441,	1.850414e-08,	13538.950000047684,	1.328498e-09,	13539.02999997139,	1.133311e-10,	-0.001325078
13539.930000066757,	2.907347e-10,	13539.670000076294,	2.31486e-10,	13539.740000009537,	2.193472e-12,	13511.920000076294,	0.09410927,	18.0,	13539.819999933243,	9.914074e-12,	13539.44000005722,	1.846914e-08,	13539.519999980927,	1.329961e-09,	13539.58999991417,	1.132435e-10,	-0.002095781
13540.490000009537,	2.907986e-10,	13540.230000019073,	2.309142e-10,	13540.299999952316,	2.279728e-12,	13512.079999923706,	0.09341781,	18.0,	13540.380000114441,	1.006212e-11,	13540.009999990463,	1.844695e-08,	13540.079999923706,	1.32729e-09,	13540.16000008583,	1.133163e-10,	-0.00201108
13541.05999994278,	2.908908e-10,	13540.789999961853,	2.304593e-10,	13540.869999885559,	2.216824e-12,	13512.240000009537,	0.09263844,	18.0,	13540.94000005722,	1.007225e-11,	13540.569999933243,	1.846889e-08,	13540.640000104904,	1.325802e-09,	13540.72000002861,	1.136756e-10,	-0.001951293
